N,execucao,tempo
100000,1,0.000028
100000,2,0.000015
100000,3,0.000015
100000,4,0.000015
100000,5,0.000015
500000,1,0.000216
500000,2,0.000220
500000,3,0.000115
500000,4,0.000120
500000,5,0.000112
1000000,1,0.000414
1000000,2,0.000407
1000000,3,0.000648
1000000,4,0.000414
1000000,5,0.000443
